,url,name,tipo,price,description,ref
37,tienda0es/inicio/204-4503-vestido-capri.html#/26-talla-2,Vestido Capri bebé,Vestido de verano para bebé niña en algodón orgánico y cuadros vichy azul marino. Con detalle de cinta bordada en sisas y en falso bajo. Forrado en algodón orgánico.,"76,00 €",Vestido de bebé niña sin mangas y confeccionado en algodón orgánico certificado. Los cuadros vichy azules marinos y los detalles de cinta bordada hacen de él un vestido chic y versátil. Con botones de nácar en la espalda. Forrado el algodón orgánico blanco con detalle de puntilla en el bajo. Hecho en España con mucho cariño.,7.011.202
38,tienda0es/the-blue-summer/205-4505-vestido-velero.html#/26-talla-2,Vestido Verbena bebé,"Vestido de tirantes en algodón orgánico 100% certificado, de cuadritos vichy blancos y rosas. Forrado en algodón orgánico blanco.","90,00 €","Vestido de tirantes en algodón orgánico certificado, de cuadritos vichy blancos y rosas. Dos bolsillos exteriores. Detalle de cinta bordada de algodón tanto en los tirantes como en los bolsillos. Con botones de nácar en la espalda. Forrado el algodón orgánico blanco con detalle de puntilla en el bajo. Hecho en España con mucho cariño.",7.011.301
39,tienda0es/the-blue-summer/206-4507-vestido-velero.html#/26-talla-2,Vestido Lila bebé,"Vestido voile de algodón orgánico certificado, con delicado estampado floral. Forrado en algodón orgánico.","81,00 €","Vestido de ligero voile de algodón orgánico certificado con un precioso estampado floral realizado en impresión digital, más sostenible. Detalle de jaretas en el pecho, manga con ligero fruncido y delicado cinturón de algodón orgánico en tono lila. Dos bolsillos exteriores delanteros. Con botones de nácar en la espalda. Forrado el algodón orgánico blanco con detalle de puntilla en el bajo. Hecho en España con mucho cariño.",7.011.501
40,tienda0es/the-blue-summer/207-4509-vestido-velero.html#/26-talla-2,Blusa Rosal bebé,Delicada blusa para bebé niña confeccionada en ligero voile de algodón orgánico certificado. Manga volante con detalle de puntilla bordada valencienne.,"81,00 €","Maravillosa blusa confeccionada en ligero voile de algodón orgánico certificado con estampado floral realizado en impresión digital, más sostenible. Tiene suave forro interior de algodón orgánico en la zona del pecho. Sofisticadas mangas con volante y detalle de puntilla Valencienne. Hecho en España con mucho cariño.",7.011.701
41,tienda0es/inicio/208-4511-blusa-sicilia.html#/26-talla-2,Blusa Sicilia bebé,"Blusa de bebé niña sin mangas, con detalles bordados en sisas, confeccionada en cuadros vichy azul marino en algodón orgánico.","70,00 €",Delicada blusa para bebé niña de algodón orgánico certificado y cuadros vichy azules marino. Lleva botones de nácar en la espalda. Los detalles bordados de las sisas hacen de esta prenda un básico imprescindible en el armario de tu pequeña esta temporada. Hecho en España con mucho cariño.,7.011.802
42,tienda0es/the-blue-summer/212-4515-camisa-urgull.html#/26-talla-2,Camisa Urgull azul bebé,Camisa de bebé niño con cuello mao polo confeccionada en lino azul orgánico certificado.,"76,00 €",Camisa de bebé niño con cuello mao polo confeccionada en lino orgánico certificado azul. Bolsillito en el pecho. Una camisa perfecta para un look de arras para niño. Hecho en España con mucho cariño.,7.020.101
43,tienda0es/inicio/214-4517-camisa-urgull.html#/26-talla-2,Camisa Urgull blanco bebé,Camisa de bebé niño con cuello mao polo confeccionada en lino orgánico certificado.,"76,00 €",Camisa de bebé niño con cuello mao polo confeccionada en lino orgánico certificado blanco. Bolsillito en el pecho. Una camisa perfecta para un look de arras para niño. Hecho en España con mucho cariño.,7.020.102
44,tienda0es/inicio/216-4519-camisa-urgull-rosa.html#/26-talla-2,Camisa Urgull rosa bebé,Camisa de bebé niño con cuello mao polo confeccionada en lino orgánico certificado.,"76,00 €",Camisa de bebé niño con cuello mao polo confeccionada en lino orgánico certificado rosa. Bolsillito en el pecho. Una camisa perfecta para un look de arras para niño. Hecho en España con mucho cariño.,7.020.104
45,tienda0es/inicio/217-4521-avenida.html#/26-talla-2,Camisa Avenida bebé,"Camisa de bebé niño atemporal, confeccionada en lino orgánico, con cuello camisero y manga larga.","84,00 €",La camisa Avenida en lino orgánico certificado blanco es la opción perfecta para cualquier ocasión. Su cuello camisero y manga larga la convierten en un acierto seguro. Crea el conjunto de lino para bebé niño perfecto combinándola con nuestros pantalones cortos Niza de lino orgánico. Hecho en España con mucho cariño.,7.020.202
46,tienda0es/inicio/219-4523-avenida.html#/26-talla-2,Camisa Avenida vichy azul marino bebé,"Camisa de bebé niño atemporal, confeccionada en algodón orgánico, con cuello camisero y manga larga.","67,00 €",La camisa Avenida en algodón orgánico- certificado azul marino vichys es la opción perfecta para cualquier ocasión. Su cuello camisero y manga larga la convierten en un acierto seguro. Crea el conjunto de algodón para bebé niño perfecto combinándola con nuestros pantalones cortos de algodón azul marino. Hecho en España con mucho cariño.,7.020.204
