,url,name,price,color,description,composition,sku
70,tienda4baby-girl-0-36/occasion-wear/striped-linen-dress-with-bows.html,striped linen dress with bows,€146.00,rope,"100% beige linen with white stripes dress, ruffled sleeves and two thin striped bows applied on the front. Fully lined in cotton, with button opening on the back.",100% LINEN fabric - 100% COTTON lining,Code                        P21VM424L1012_113
71,tienda4baby-girl-0-36/occasion-wear/linen-shoes-with-bow.html,linen shoes with bow,€89.00,small stripe rope,"White and beige striped linen softs shoes, with tone-on-tone bow applied on the strap with comfortable elastic.",100% LINEN fabric - 100% COTTON lining,Code                        P21SS103L1012_113P
72,tienda4baby-girl-0-36/occasion-wear/short-sleeve-dress-with-exclusive-il-gufo-pattern-35009.html,short sleeve dress with exclusive Il Gufo pattern,€154.00,red clay / pearl pink,"Cotton dress with exclusive Il Gufo all-over pattern, with cap sleeves and a solid pink waistband that closes with a bow on the back. At the bottom of the dress a pink sateen cotton sash. Cotton lining and tulle layer for",100% COTTON fabric- 3% ELASTAM / SPANDEX details - 97% COTTON details- 100% POLYAMIDE/NYLON inserts - 100% COTTON lining,Code                        P21VM626C4065_3431
73,tienda4baby-girl-0-36/occasion-wear/nappa-sandal-with-applied-tulle.html,nappa sandal with applied tulle,€138.00,white,White nappa sandal with white tulle pon pon application. Velcro closure and cork and rubber sole.,100% GENUINE LEATHER UPPER - 50% CORK SOLE - 50% RUBBER SOLE -100% POLYAMIDE/NYLON details - 100% GENUINE LEATHER lining-,Code                        P21XG539VITNC_010
74,tienda4baby-girl-0-36/occasion-wear/short-sleeve-dress-with-flounces.html,short sleeve dress with flounces,€136.00,pearl pink,"Pink clo clo fabric dress, with cap sleeves, small ruffle at the waist and two flounces along the skirt. Both flounces have a pink tulle layer that gives a voluminous effect. Cotton lined dress. Practical back zip opening.",2% ELASTAM / SPANDEX fabric  -  98% COTTON fabric - 100% POLYAMIDE/NYLON inserts - 100% COTTON lining -,Code                        P21VM627C0053_310
75,tienda4baby-girl-0-36/occasion-wear/nappa-sandal-with-applied-tulle-35028.html,nappa sandal with applied tulle,€138.00,white,Pink nappa sandal with pink tulle pon pon application. Velcro closure and cork and rubber sole.,100% GENUINE LEATHER UPPER - 50% CORK SOLE - 50% RUBBER SOLE -100% POLYAMIDE/NYLON details - 100% GENUINE LEATHER lining-,Code                        P21XG539VITNC_325
76,tienda4baby-girl-0-36/occasion-wear/cotton-voile-short-sleeve-dress-with-band.html,cotton voile short sleeve dress with band,€110.00,white/ blue,"White cotton poplin short sleeves dress, lined in cotton. Contrasting black grosgrain waistband with embroidered logo, which closes with a bow at the back. Machine-made floral embroidery on the bottom.",100% COTTON fabric,Code                        P21VM622C0050_0149
77,tienda4baby-girl-0-36/occasion-wear/cotton-seersucker-fake-dungaree-dress.html,cotton seersucker fake dungaree dress,€86.00,hibiscus,"dress with cap sleeves, fake dungarees with Vichy pattern cotton seersucker ruffles on the straps, fake buttons applied at the bottom of the straps. Opening on the back with snap buttons.",100% COTTON bottom - 100% COTTON top,Code                        P21VM453C1057_626
78,tienda4baby-girl-0-36/occasion-wear/tulle-short-sleeve-dress.html,tulle short sleeve dress,€117.00,aquamarine/lemonade,"Teal tulle short-sleeved dress, fully lined in cotton jersey, with front application of a flower in tulle and cotton. Practical opening with snap buttons on the shoulder",100% COTTON inner fabric - 100% POLYAMIDE/NYLON outer fabric -,Code                        P21VM631H0018_5021
79,tienda4baby-girl-0-36/occasion-wear/short-sleeve-dress-with-bows-on-the-sides.html,short sleeve dress with bows on the sides,€138.00,white,"White fil coupé cotton dress with polka dot work, with cap sleeves and two bows applied to the sides, two-button closure on the back. Inner cotton lining with practical zip closure.",3% ELASTAM / SPANDEX fabric  -  100% COTTON fabric - 100% COTTON lining,Code                        P21VM510C5043_010
