,url,product_id,name,description,image_url,unit_price,category,type_product,color,talla
0,tienda2shop/articulo/newborn/2/3200010003,3200010003,MANTA PUNTO ROSA,,https://www.nanos.es/tweb/ul/1/fotos/medium/3200010003.jpg,69.9,Recién Nacido/,Colecc.12-Fam.2-Temporada 20,,
1,tienda2shop/articulo/newborn/2/3200010006,3200010006,MANTA PUNTO CELESTE,,https://www.nanos.es/tweb/ul/1/fotos/medium/3200010006.jpg,69.9,Recién Nacido/,Colecc.11-Fam.2-Temporada 20,,
2,tienda2shop/articulo/newborn/9/3205023503,3205023503,RANITA ROSA,,https://www.nanos.es/tweb/ul/1/fotos/medium/3205023503.jpg,29.9,Recién Nacido/,Colecc.12-Fam.9-Temporada 20,,
3,tienda2shop/articulo/newborn/9/3205263506,3205263506,RANITA CELESTE,,https://www.nanos.es/tweb/ul/1/fotos/medium/3205263506.jpg,29.9,Recién Nacido/,Colecc.11-Fam.9-Temporada 20,,
4,tienda2shop/articulo/newborn/9/3205296606,3205296606,RANITA CELESTE,,https://www.nanos.es/tweb/ul/1/fotos/medium/3205296606.jpg,29.9,Recién Nacido/,Colecc.11-Fam.9-Temporada 20,,
5,tienda2shop/articulo/newborn/3/3203260017,3203260017,BODY CRUDO,,https://www.nanos.es/tweb/ul/1/fotos/medium/3203260017.jpg,49.9,Recién Nacido/,Colecc.11-Fam.3-Temporada 20,,
6,tienda2shop/articulo/newborn/9/3205300017,3205300017,RANITA VIELLA CRUDO,,https://www.nanos.es/tweb/ul/1/fotos/medium/3205300017.jpg,29.9,Recién Nacido/,Colecc.11-Fam.9-Temporada 20,,
7,tienda2shop/articulo/newborn/9/3205286509,3205286509,RANITA GRIS CLARO,,https://www.nanos.es/tweb/ul/1/fotos/medium/3205286509.jpg,29.9,Recién Nacido/,Colecc.11-Fam.9-Temporada 20,,
8,tienda2shop/articulo/newborn/6/3208250009,3208250009,JUBON PUNTO GRIS CLARO,,https://www.nanos.es/tweb/ul/1/fotos/medium/3208250009.jpg,64.9,Recién Nacido/,Colecc.11-Fam.6-Temporada 20,,
9,tienda2shop/articulo/newborn/3/3203284717,3203284717,BLUSA CRUDO,,https://www.nanos.es/tweb/ul/1/fotos/medium/3203284717.jpg,54.9,Recién Nacido/,Colecc.11-Fam.3-Temporada 20,,
10,tienda2shop/articulo/newborn/9/3205310009,3205310009,POLAINA PUNTO GRIS CLARO,,https://www.nanos.es/tweb/ul/1/fotos/medium/3205310009.jpg,39.9,Recién Nacido/,Colecc.11-Fam.9-Temporada 20,,
11,tienda2shop/articulo/newborn/7/3292050003,3292050003,MINI CON BRAGUI ROSA,,https://www.nanos.es/tweb/ul/1/fotos/medium/3292050003.jpg,83.93,Recién Nacido/,Colecc.12-Fam.7-Temporada 20,,
12,tienda2shop/articulo/newborn/2/3290017003,3290017003,GORRO PUNTO ROSA,,https://www.nanos.es/tweb/ul/1/fotos/medium/3290017003.jpg,26.91,Recién Nacido/,Colecc.12-Fam.2-Temporada 20,,
13,tienda2shop/articulo/newborn/2/3290017006,3290017006,GORRO PUNTO CELESTE,,https://www.nanos.es/tweb/ul/1/fotos/medium/3290017006.jpg,29.9,Recién Nacido/,Colecc.12-Fam.2-Temporada 20,,
14,tienda2shop/articulo/newborn/10/3207285717,3207285717,PELELE CRUDO,,https://www.nanos.es/tweb/ul/1/fotos/medium/3207285717.jpg,49.9,Recién Nacido/,Colecc.11-Fam.10-Temporada 20,,
15,tienda2shop/articulo/newborn/10/3207255796,3207255796,PIJAMA PUNTO TERCIOPEL CELESTE,,https://www.nanos.es/tweb/ul/1/fotos/medium/3207255796.jpg,39.9,Recién Nacido/,Colecc.11-Fam.10-Temporada 20,,
16,tienda2shop/articulo/newborn/10/3207015793,3207015793,PELELE PUNTO TERCIOPEL ROSA,,https://www.nanos.es/tweb/ul/1/fotos/medium/3207015793.jpg,49.9,Recién Nacido/,Colecc.12-Fam.10-Temporada 20,,
17,tienda2shop/articulo/newborn/10/3207265717,3207265717,PIJAMA PUNTO CRUDO,,https://www.nanos.es/tweb/ul/1/fotos/medium/3207265717.jpg,49.9,Recién Nacido/,Colecc.11-Fam.10-Temporada 20,,
18,tienda2shop/articulo/newborn/10/3207005703,3207005703,PIJAMA PUNTO ROSA,,https://www.nanos.es/tweb/ul/1/fotos/medium/3207005703.jpg,49.9,Recién Nacido/,Colecc.12-Fam.10-Temporada 20,,
19,tienda2shop/articulo/newborn/2/3290350096,3290350096,GORRO PUNTO CELESTE,,https://www.nanos.es/tweb/ul/1/fotos/medium/3290350096.jpg,19.9,Recién Nacido/,Colecc.11-Fam.2-Temporada 20,,
20,tienda2shop/articulo/newborn/10/3297266596,3297266596,PIJAMA CELESTE,,https://www.nanos.es/tweb/ul/1/fotos/medium/3297266596.jpg,39.9,Recién Nacido/,Colecc.11-Fam.10-Temporada 20,,
21,tienda2shop/articulo/newborn/10/3297016593,3297016593,PIJAMA ROSA,,https://www.nanos.es/tweb/ul/1/fotos/medium/3297016593.jpg,35.91,Recién Nacido/,Colecc.12-Fam.10-Temporada 20,,
22,tienda2shop/articulo/newborn/10/3297025493,3297025493,PIJAMA PUNTO ROSA,,https://www.nanos.es/tweb/ul/1/fotos/medium/3297025493.jpg,35.91,Recién Nacido/,Colecc.12-Fam.10-Temporada 20,,
23,tienda2shop/articulo/newborn/10/3291257018,3291257018,MAMELUCO PUNTO VERDE,,https://www.nanos.es/tweb/ul/1/fotos/medium/3291257018.jpg,89.91,Recién Nacido/,Colecc.11-Fam.10-Temporada 20,,
24,tienda2shop/articulo/newborn/2/3290277018,3290277018,GORRO PUNTO VERDE AGUA,,https://www.nanos.es/tweb/ul/1/fotos/medium/3290277018.jpg,29.9,Recién Nacido/,Colecc.11-Fam.2-Temporada 20,,
25,tienda2shop/articulo/newborn/3/3203290001,3203290001,CHAMBRA BATISTA BLANCO,,https://www.nanos.es/tweb/ul/1/fotos/medium/3203290001.jpg,59.9,Recién Nacido/,Colecc.11-Fam.3-Temporada 20,,
26,tienda2shop/articulo/newborn/9/3295310918,3295310918,RANA VERDE AGUA,,https://www.nanos.es/tweb/ul/1/fotos/medium/3295310918.jpg,27.93,Recién Nacido/,Colecc.11-Fam.9-Temporada 20,,
27,tienda2shop/articulo/newborn/7/3292045517,3292045517,MINI PUNTO CRUDO,,https://www.nanos.es/tweb/ul/1/fotos/medium/3292045517.jpg,69.93,Recién Nacido/,Colecc.12-Fam.7-Temporada 20,,
28,tienda2shop/articulo/newborn/2/3290370017,3290370017,SACO CRUDO,,https://www.nanos.es/tweb/ul/1/fotos/medium/3290370017.jpg,143.91,Recién Nacido/,Colecc.12-Fam.2-Temporada 20,,
29,tienda2shop/articulo/newborn/9/3295255517,3295255517,RANITA CRUDO,,https://www.nanos.es/tweb/ul/1/fotos/medium/3295255517.jpg,29.94,Recién Nacido/,Colecc.11-Fam.9-Temporada 20,,
30,tienda2shop/articulo/newborn/9/3295023303,3295023303,RANITA PLUMETI ROSA,,https://www.nanos.es/tweb/ul/1/fotos/medium/3295023303.jpg,41.93,Recién Nacido/,Colecc.12-Fam.9-Temporada 20,,
31,tienda2shop/articulo/newborn/2/3290267047,3290267047,GORRO PUNTO AZU/PETROL,,https://www.nanos.es/tweb/ul/1/fotos/medium/3290267047.jpg,29.9,Recién Nacido/,Colecc.11-Fam.2-Temporada 20,,
32,tienda2shop/articulo/newborn/10/3298337047,3298337047,PELELE PUNTO AZU/PETROL,,https://www.nanos.es/tweb/ul/1/fotos/medium/3298337047.jpg,89.9,Recién Nacido/,Colecc.11-Fam.10-Temporada 20,,
33,tienda2shop/articulo/newborn/2/3290257006,3290257006,GORRO PUNTO CELESTE,,https://www.nanos.es/tweb/ul/1/fotos/medium/3290257006.jpg,29.9,Recién Nacido/,Colecc.11-Fam.2-Temporada 20,,
34,tienda2shop/articulo/newborn/10/3298347006,3298347006,PELELE PUNTO CELESTE,,https://www.nanos.es/tweb/ul/1/fotos/medium/3298347006.jpg,79.9,Recién Nacido/,Colecc.11-Fam.10-Temporada 20,,
35,tienda2shop/articulo/newborn/2/3290297008,3290297008,GORRO PUNTO AZULON,,https://www.nanos.es/tweb/ul/1/fotos/medium/3290297008.jpg,39.9,Recién Nacido/,Colecc.11-Fam.2-Temporada 20,,
36,tienda2shop/articulo/newborn/9/3295307008,3295307008,RANA PUNTO AZULON,,https://www.nanos.es/tweb/ul/1/fotos/medium/3295307008.jpg,48.93,Recién Nacido/,Colecc.11-Fam.9-Temporada 20,,
37,tienda2shop/articulo/newborn/9/3295037006,3295037006,PELELE PUNTO CELESTE,,https://www.nanos.es/tweb/ul/1/fotos/medium/3295037006.jpg,62.91,Recién Nacido/,Colecc.11-Fam.9-Temporada 20,,
