,url,base,price,value,description
131,tienda3catalog/product/view/id/23856/s/gorro-greca-con-pompon/category/226/,GORRO GRECA CON POMPÓN,"13,96 €",8434135252522,Gorro de punto unisex en color gris con detalle greca. Pompón en la parte superior.
132,tienda3catalog/product/view/id/25709/s/crema-gorro-pompon-acsl34-233/category/226/,GORRO CREMA CON POMPÓN,,8434135257695,Gorro crema con pompón a contraste.
133,tienda3catalog/product/view/id/24876/s/jersey-canale-bicolor/category/192/,JERSEY BICOLOR CANALÉ,"31,96 €",8434135257565,Jersey de punto bicolor en color teja y rosa para niña. Cuello redondo y manga larga.
134,tienda3catalog/product/view/id/24875/s/mostaza-liso-jersey/category/192/,JERSEY NIÑA MOSTAZA,"27,96 €",8434135258548,Jersey de punto en color mostaza. Cuello redondo y manga larga. Terminación en rib.
135,tienda3catalog/product/view/id/24874/s/jersey-lazo-azul/category/192/,JERSEY AZUL LAZO,"31,96 €",8434135253437,Jersey de punto azul con manga larga y lazo delantero en bajo. Cuello redondo.
136,tienda3catalog/product/view/id/25185/s/granate-nina-lurex-drsl36-136/category/192/,VESTIDO CUADRO LÚREX,"27,96 €",8434135248648,Vestido granate con cuello volante. Estampado cuadros de lúrex. Manga larga. Apertura en espalda con botones.
137,tienda3catalog/product/view/id/25381/s/pantalon-algodon-unisex-bosl35-271/category/192/,PANTALÓN ALGODÓN MOSTAZA,,8434135277716,Pantalón unisex de algodón. Corte pitillo. Cintura elástica con cordón ajustable. Bordado BAP a contraste.
138,tienda3catalog/product/view/id/24874/s/jersey-lazo-azul/category/229/,JERSEY AZUL LAZO,"31,96 €",8434135253437,Jersey de punto azul con manga larga y lazo delantero en bajo. Cuello redondo.
139,tienda3catalog/product/view/id/24872/s/mostaza-manga-abullonada/category/229/,CÁRDIGAN PUNTO MOSTAZA,"29,16 €",8434135258357,Cárdigan de punto mostaza con manga larga abullonada. Apertura delantera con botones.
140,tienda3catalog/product/view/id/24875/s/mostaza-liso-jersey/category/229/,JERSEY NIÑA MOSTAZA,"27,96 €",8434135258548,Jersey de punto en color mostaza. Cuello redondo y manga larga. Terminación en rib.
